Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
31127,538,2888,,,आनाय्योऽनित्ये ।,आनाय्यः १/१ अनित्ये ७/१
31128,2459,2889,,,प्रणाय्योऽसंमतौ ।,प्रणाय्यः १/१ असंमतौ ७/१
31129,2364,2890,,,पाय्यसान्नाय्यनिकाय्यधाय्या मानहविर्निवाससामिधेनीषु ।,पाय्यसान्नाय्यनिकाय्यधाय्याः १/३ मानहविर्निवाससामिधेनीषु ७/३
31130,1200,2891,,,क्रतौ कुण्डपाय्यसंचाय्यौ ।,क्रतौ ७/१ कुण्डपाय्यसंचाय्यौ १/२
31131,28,2892,,,अग्नौ परिचाय्योपचाय्यसमूह्याः ।,अग्नौ ७/१ परिचाय्योपचाय्यसमूह्याः १/३
31132,1419,2893,,,चित्याग्निचित्ये च ।,चित्याग्निचित्ये १/२ च ०/०
31133,1597,2895,,,ण्वुल्तृचौ ।,ण्वुल्तृचौ १/२
31134,2110,2896,,,नन्दिग्रहिपचादिभ्यो ल्युणिन्यचः ।,नन्दिग्रहिपचादिभ्यः ५/३ ल्युणिन्यचः १/३
31135,603,2897,,,इगुपधज्ञाप्रीकिरः कः ।,इगुपधज्ञाप्रीकिरः ५/१ कः १/१
31136,499,2898,,,आतश्चोपसर्गे ।,आतः ५/१ च ०/० उपसर्गे ७/१
31137,2346,2899,,,पाघ्राध्माधेट्दृशः शः ।,पाघ्राध्माधेट्दृशः ५/१ शः १/१
31138,213,2900,,,अनुपसर्गाल्लिम्पविन्दधारिपारिवेद्युदेजिचेतिसातिसाहिभ्यश्च ।,अनुपसर्गात् ५/१ लिम्पविन्दधारिपारिवेद्युदेजिचेतिसातिसाहिभ्यः ५/३ च ०/०
31139,1828,2901,,,ददातिदधात्योर्विभाषा ।,ददातिदधात्योः ५/२ विभाषा १/१
31140,1539,2902,,,ज्वलितिकसन्तेभ्यो णः ।,ज्वलितिकसन्तेभ्यः ५/३ णः १/१
31141,3444,2903,,,श्याऽऽद्व्यधास्रुसंस्र्वतीणवसाऽवहृलिहश्लिषश्वसश्च ।,श्याऽऽद्‍व्यधास्रुसंस्र्वतीणवसाऽवहृलिहश्लिषश्वसः ५/१ च ०/०
31142,1890,2904,,,दुन्योरनुपसर्गे ।,दुन्योः ६/२ अनुपसर्गे ७/१
31143,3193,2905,,,विभाषा ग्रहेः ।,विभाषा १/१ ग्रहः ५/१
31144,1306,2906,,,गेहे कः ।,गेहे ७/१ कः १/१
31145,3399,2907,,,शिल्पिनि ष्वुन् ।,शिल्पिनि ७/१ ष्वुन् १/१
31146,1283,2908,,,गस्थकन् ।,गः ५/१ थकन् १/१
31147,1596,2909,,,ण्युट् च ।,ण्युट् १/१ च ०/०
31148,3931,2910,,,हश्च व्रीहिकालयोः ।,हः ५/१ च ०/० व्रीहिकालयोः ७/२
31149,2553,2911,,,प्रुसृल्वः समभिहारे वुन् ।,प्रुसृल्वः १/३ ( अत्र पञ्चम्याः स्थाने जस्) समभिहारे ७/१ वुन् १/१
31150,580,2912,,,आशिषि च ।,आशिषि ७/१ च ०/०
32001,1018,2913,,,कर्मण्यण् ।,कर्मणि ७/१ अण् १/१
32002,3983,2914,,,ह्वावामश्च ।,ह्वावामः ५/१ च ०/०
32003,508,2915,,,आतोऽनुपसर्गे कः ।,आतः ५/१ अनुपसर्गे ७/१ कः १/१
32004,3761,2916,,,सुपि स्थः ।,सुपि ७/१ स्थः ५/१
32005,1748,2919,,,तुन्दशोकयोः परिमृजापनुदोः ।,तुन्दशोकयोः ७/२ परिमृजापनुदोः ६/२
32006,2554,2920,,,प्रे दाज्ञः ।,प्रे ७/१ दाज्ञः ५/१
32007,3646,2921,,,समि ख्यः ।,समि ७/१ ख्यः ५/१
32008,1291,2922,,,गापोष्टक् ।,गापोः ६/२ टक् १/१
32009,3905,2923,,,हरतेरनुद्यमनेऽच् ।,हरतेः ५/१ अनुद्यमने ७/१ अच् १/१
32010,3061,2924,,,वयसि च ।,वयसि ७/१ च ०/०
32011,475,2925,,,आङि ताच्छील्ये ।,आङि ७/१ ताच्छील्ये ७/१
32012,363,2926,,,अर्हः ।,अर्हः ५/१
32013,3803,2927,,,स्तम्बकर्णयोः रमिजपोः ।,स्तम्बकर्णयोः ७/२ रमिजपोः ६/२
32014,3362,2928,,,शमि धातोः संज्ञायाम् ।,"""शमि ७/१ धातोः ५/१ संज्ञायाम् ७/१ ( अत्र शम् इत्यव्ययम् "
32015,147,2929,,,अधिकरणे शेतेः ।,अधिकरणे ७/१ शेतेः ५/१
32016,1400,2930,,,चरेष्टः ।,चरेः ५/१ टः १/१
32017,2669,2931,,,भिक्षासेनाऽऽदायेषु च ।,भिक्षासेनाऽऽदायेषु ७/३ च ०/०
32018,2397,2932,,,पुरोऽग्रतोऽग्रेषु सर्तेः ।,पुरोऽग्रतोऽग्रेषु ७/३ सर्त्तेः ५/१
